VideoID,Start,End,WorkerID,Source,AnnotationTime,Language,Description
ZbzDGXEwtGc,6,15,275759,clean,43,English,An airplane is flying.
ZbzDGXEwtGc,6,15,553931,clean,22,English,The plane flew in the sky.
ZbzDGXEwtGc,6,15,762891,clean,25,English,The plane is soaring through the air.
ZbzDGXEwtGc,6,15,309959,clean,24,English,The South African jet banked itself in the air.
jbzaMtPYtl8,48,58,682611,clean,203,English,Two men are rolling huge tires sideways down a street while spectators watch.
jbzaMtPYtl8,48,58,760882,clean,78,English,Two men are pushing large tires.
jbzaMtPYtl8,48,58,159786,clean,404,English,Men are flipping large tires in a race.
jbzaMtPYtl8,48,58,922727,clean,26,English,Two men are moving tires.
jbzaMtPYtl8,48,58,275759,clean,39,English,Men are rolling big tyre.
jbzaMtPYtl8,48,58,825347,clean,23,English,Two men are pushing large tires.
jbzaMtPYtl8,48,58,374994,clean,19,English,Men are tumbling tires in a race.
jbzaMtPYtl8,48,58,297776,clean,39,English,Two men push monstrous tires along the ground.
jbzaMtPYtl8,48,58,155632,clean,23,English,Men are pushing large tires.
jbzaMtPYtl8,48,58,169605,clean,20,English,Men are moving tires.
jbzaMtPYtl8,48,58,617730,clean,26,English,Two men are flipping over oversized tires.
jbzaMtPYtl8,48,58,772960,clean,352,English,"In a race held, each of the two men is moving a huge tire by tumbling them repeatedly on a road lined with people."
jbzaMtPYtl8,48,58,309959,clean,21,English,Two people flipped tractor tires in a race.
jbzaMtPYtl8,48,58,295615,clean,66,English,Two men each flip a huge tire down the pavement.
jbzaMtPYtl8,48,58,762891,clean,32,English,The men are moving the huge tires.
jbzaMtPYtl8,48,58,807872,clean,23,English,Two men compete in a tire rolling race.
jbzaMtPYtl8,48,58,553931,clean,21,English,Two people flipped tractor tires in a race.
jbzaMtPYtl8,48,58,807741,unverified,112,English,the man is lifting the weight.
jbzaMtPYtl8,48,58,741585,unverified,19,English,men are flipping tires.
jbzaMtPYtl8,48,58,394339,unverified,202,English,two strongest man playing a game with tyre
jbzaMtPYtl8,48,58,799001,unverified,17,English,Men are turning tires over.
jbzaMtPYtl8,48,58,707318,unverified,12,English,Men are pushing large tires.
jbzaMtPYtl8,48,58,318570,unverified,221,English,two men are rolling the big Tyre.
jbzaMtPYtl8,48,58,403763,unverified,128,English,Two men are moving tyres.
jbzaMtPYtl8,48,58,829808,unverified,110,English,A strong person pulling a big Tyre.
jbzaMtPYtl8,48,58,373663,unverified,65,English,Men are flipping large tires.
jbzaMtPYtl8,48,58,169605,unverified,13,English,Men are flipping tires.
jbzaMtPYtl8,48,58,169072,unverified,48,English,Men are rolling tyres.
jbzaMtPYtl8,48,58,748930,unverified,30,English,Two men are rolling tyres.
jbzaMtPYtl8,48,58,279187,unverified,137,English,Two men race by flipping a large truck tyre.
jbzaMtPYtl8,48,58,762891,unverified,18,English,The men are rolling huge tires in a race.
jbzaMtPYtl8,48,58,869926,unverified,18,English,Two men are rolling tires.
jbzaMtPYtl8,48,58,633378,unverified,35,English,A man is lifting and pushing a tyre.
jbzaMtPYtl8,48,58,131538,unverified,25,English,Two men are flipping heavy tires.
jbzaMtPYtl8,48,58,833861,unverified,128,English,Some persons are lift the heavy tyers
jbzaMtPYtl8,48,58,965612,unverified,41,English,the person is doing the something
jbzaMtPYtl8,48,58,497691,unverified,72,English,TWO MEN ARE ROLLING HEAVY TRUCK'S TYRE.
jbzaMtPYtl8,48,58,495520,unverified,414,English,How is the strongest man.
jbzaMtPYtl8,48,58,705358,unverified,237,English,A short clip about a strongest man at Southern California  Jeff holder who is moving the tyre and prooving oneself .
g36ho6UrBz0,5,20,550906,clean,28,English,a man playing a guitar outside his house
g36ho6UrBz0,5,20,625932,clean,37,English,A man is playing a guitar on the patio.
g36ho6UrBz0,5,20,772960,clean,139,English,A man is playing a guitar seated outside a restaurant.
g36ho6UrBz0,5,20,135621,clean,143,English,A man is playing a guitar while sitting down.
g36ho6UrBz0,5,20,280252,clean,33,English,A man is playing a guitar.
g36ho6UrBz0,5,20,922727,clean,20,English,A man is playing a guitar.
g36ho6UrBz0,5,20,257003,clean,106,English,A man is playing a guitar.
g36ho6UrBz0,5,20,135141,clean,53,English,A man is playing an acoustic guitar outdoors.
g36ho6UrBz0,5,20,888508,clean,28,English,A man is playing guitar.
g36ho6UrBz0,5,20,155632,clean,25,English,A man is playing the guitar.
g36ho6UrBz0,5,20,297776,clean,46,English,A man plays a guitar.
g36ho6UrBz0,5,20,215924,clean,224,English,A man plays guitar.
g36ho6UrBz0,5,20,275759,clean,49,English,A person is performing with his guitar.
g36ho6UrBz0,5,20,147492,clean,44,English,A seated man plays guitar.
g36ho6UrBz0,5,20,374994,clean,25,English,A sitting man is playing guitar.
g36ho6UrBz0,5,20,762891,clean,35,English,The man is playing the guitar.
g36ho6UrBz0,5,20,553931,clean,20,English,The man is plying his guitar on the patio.
g36ho6UrBz0,5,20,309959,clean,24,English,The man played his guitar.
g36ho6UrBz0,5,20,668575,unverified,53,English,A man is playing an electric guitar.
g36ho6UrBz0,5,20,395870,unverified,57,English,A man is playing guitar.
g36ho6UrBz0,5,20,471930,unverified,48,English,A man is playing guitar outside of a store.
g36ho6UrBz0,5,20,411294,unverified,24,English,The man is playing the guitar.
g36ho6UrBz0,5,20,651813,unverified,19,English,A man is playing a guitar.
g36ho6UrBz0,5,20,682611,unverified,61,English,A man is playing a guitar.
g36ho6UrBz0,5,20,760882,unverified,13,English,A man plays a guitar.
g36ho6UrBz0,5,20,696912,unverified,82,English,The man is playing music on a guitar sitting on a stool.
g36ho6UrBz0,5,20,252681,unverified,19,English,A man is playing guitar.
g36ho6UrBz0,5,20,394758,unverified,48,English,a man playing guitar
g36ho6UrBz0,5,20,132126,unverified,69,English,A man playing an instrument.
g36ho6UrBz0,5,20,134458,unverified,203,English,A man is playing  music through Fiddle
g36ho6UrBz0,5,20,339451,unverified,60,English,A man is playing the guitar.
g36ho6UrBz0,5,20,371782,unverified,109,English,A man playing guitar.
g36ho6UrBz0,5,20,584478,unverified,18,English,A man playing the guitar.
g36ho6UrBz0,5,20,418656,unverified,67,English,An old man is playing guitar.
g36ho6UrBz0,5,20,502429,unverified,44,English,A man is playing a guitar.
g36ho6UrBz0,5,20,435773,unverified,12,English,A man is playing a guitar.
g36ho6UrBz0,5,20,922727,unverified,22,English,A man is playing a guitar outside.
g36ho6UrBz0,5,20,157374,unverified,42,English,A man is enjoying himself as he plays the guitar.
g36ho6UrBz0,5,20,599728,unverified,60,English,A person is playing guitar righ now
g36ho6UrBz0,5,20,765277,unverified,50,English,A man playing electric gutar at a party.
g36ho6UrBz0,5,20,120123,unverified,42,English,A man playing his electric guitar at a home party outside.
g36ho6UrBz0,5,20,309415,unverified,19,English,a man playing a guitar
g36ho6UrBz0,5,20,844963,unverified,53,English,A man is playing a guitar.
g36ho6UrBz0,5,20,169605,unverified,21,English,A guy is playing guitar.
g36ho6UrBz0,5,20,169072,unverified,40,English,A man is playing a guitar.
g36ho6UrBz0,5,20,728190,unverified,73,English,A man is playing a guitar.
g36ho6UrBz0,5,20,617730,unverified,16,English,A man is playing a guitar outside.
g36ho6UrBz0,5,20,223451,unverified,29,English,A man is happily playing guitar
g36ho6UrBz0,5,20,383544,unverified,32,English,a man is playing a guitar
g36ho6UrBz0,5,20,394339,unverified,129,English,A man is playing the guitar.
g36ho6UrBz0,5,20,309959,unverified,17,English,The man played his guitar at the party.
g36ho6UrBz0,5,20,130040,unverified,55,English,A band is performing on a stage outside.
g36ho6UrBz0,5,20,662670,unverified,199,English,A man is sitting outdoors playing an electric guitar.
g36ho6UrBz0,5,20,628967,unverified,20,English,A man is playing a guitar outside.
g36ho6UrBz0,5,20,762891,unverified,16,English,The man is playing the guitar.
g36ho6UrBz0,5,20,464184,unverified,46,English,A man is playing the guitar.
g36ho6UrBz0,5,20,675312,unverified,121,English,A man is playing an electric guitar outside a home.
g36ho6UrBz0,5,20,965537,unverified,218,English,He is playing guitar and not interested in any drink
g36ho6UrBz0,5,20,807872,unverified,17,English,A man plays the guitar.
g36ho6UrBz0,5,20,963466,unverified,35,English,A man is playing violin.
g36ho6UrBz0,5,20,553931,unverified,20,English,A man strummed his guitar on his patio.
04Gt01vatkk,248,265,550906,clean,33,English,A woman cuts an oion.
04Gt01vatkk,248,265,280252,clean,39,English,A girl is cutting an onion.
04Gt01vatkk,248,265,155632,clean,30,English,A girl is cutting an onion.
04Gt01vatkk,248,265,257003,clean,96,English,A girl is cutting onion into small pieces.
04Gt01vatkk,248,265,135141,clean,36,English,A girl is dicing up an onion.
04Gt01vatkk,248,265,295615,clean,57,English,A woman chops a white onion.
04Gt01vatkk,248,265,297776,clean,39,English,A woman cuts and dices an onion.
04Gt01vatkk,248,265,374994,clean,62,English,A woman is chopping an onion into small pieces.
04Gt01vatkk,248,265,772960,clean,128,English,A woman is chopping an onion slice into fine pieces.
04Gt01vatkk,248,265,625932,clean,59,English,A woman is cutting onions.
04Gt01vatkk,248,265,922727,clean,57,English,A woman is slicing a onion.
04Gt01vatkk,248,265,275759,clean,305,English,A Woman is slicing some vegetables.
04Gt01vatkk,248,265,159786,clean,1231,English,A woman slices an onion.
04Gt01vatkk,248,265,215924,clean,101,English,An onion is chopped up.
04Gt01vatkk,248,265,762891,clean,40,English,The cook is dicing onions.
04Gt01vatkk,248,265,553931,clean,19,English,The girl is slicing an onion.
buJ5HDCinrM,150,166,135621,clean,128,English,A woman is putting make up on her face.
buJ5HDCinrM,150,166,435773,clean,26,English,A woman is putting makeup on her face.
buJ5HDCinrM,150,166,922727,clean,50,English,A woman is putting on makeup.
buJ5HDCinrM,150,166,275759,clean,51,English,A woman is doing facial.
buJ5HDCinrM,150,166,825347,clean,12,English,A woman is applying makeup to her face.
buJ5HDCinrM,150,166,374994,clean,15,English,A woman is applying cosmetics to her face.
buJ5HDCinrM,150,166,297776,clean,39,English,A woman explains how to apply makeup.
buJ5HDCinrM,150,166,155632,clean,20,English,A woman is applying makeup.
buJ5HDCinrM,150,166,772960,clean,522,English,A woman applies a concealer to the lower portion of her right cheek and blends it using her fingers to get a chiseled look.
buJ5HDCinrM,150,166,550906,clean,26,English,a lady rubbing makeup on
buJ5HDCinrM,150,166,309959,clean,16,English,The lade applied foundation.
buJ5HDCinrM,150,166,295615,clean,46,English,A woman applies make up to her face.
buJ5HDCinrM,150,166,762891,clean,27,English,The woman is putting on makeup.
buJ5HDCinrM,150,166,625932,clean,46,English,A woman is applying makeup.
buJ5HDCinrM,150,166,553931,clean,35,English,A lady put foundation on her cheek.
buJ5HDCinrM,150,166,161407,unverified,111,English,A lady showing her face and putting makeup
buJ5HDCinrM,150,166,371782,unverified,132,English,A girl is standing .
buJ5HDCinrM,150,166,599728,unverified,97,English,a lady is doing make-up.
buJ5HDCinrM,150,166,948158,unverified,47,English,A woman applies makeup to her jaw line.
buJ5HDCinrM,150,166,309415,unverified,28,English,A woman demonstrates applying facial products.
buJ5HDCinrM,150,166,741585,unverified,28,English,A woman demonstrates how to put on make-up.
buJ5HDCinrM,150,166,919506,unverified,249,English,a woman telling how to do makeup to face.
buJ5HDCinrM,150,166,334439,unverified,99,English,A women showing how to makeup
buJ5HDCinrM,150,166,977945,unverified,161,English,Kim Kardashian Smokey Eyes
buJ5HDCinrM,150,166,154335,unverified,107,English,the girl is explaine the healthcare
buJ5HDCinrM,150,166,120198,unverified,43,English,woman instructing how to do makeup
buJ5HDCinrM,150,166,829808,unverified,41,English,A girl doing make up.
buJ5HDCinrM,150,166,728894,unverified,44,English,A girl illustration on applying makeup.
buJ5HDCinrM,150,166,130040,unverified,68,English,a kim kardashian mokey eyes
buJ5HDCinrM,150,166,394339,unverified,47,English,A Lady giving the beauty tips about the face.
buJ5HDCinrM,150,166,318570,unverified,194,English,a lady is doing make up on her face.
buJ5HDCinrM,150,166,963466,unverified,63,English,A lady is doing make-up.
buJ5HDCinrM,150,166,735417,unverified,81,English,A lady is giving tips on how to do the make up.
buJ5HDCinrM,150,166,554590,unverified,30,English,A woman applies make-up to her face.
buJ5HDCinrM,150,166,638934,unverified,13,English,A woman demonstrates how to apply makeup.
buJ5HDCinrM,150,166,467982,unverified,105,English,A woman doing some sort of makeup on her face.
buJ5HDCinrM,150,166,707318,unverified,23,English,A woman is applying face makeup.
buJ5HDCinrM,150,166,157374,unverified,47,English,A woman is applying face makeup.
buJ5HDCinrM,150,166,531524,unverified,370,English,A woman is applying make up on her face.
buJ5HDCinrM,150,166,682611,unverified,61,English,A woman is applying makeup to her face.
buJ5HDCinrM,150,166,617730,unverified,20,English,A woman is applying makeup to her face.
buJ5HDCinrM,150,166,158187,unverified,19,English,A woman is applying makeup.
buJ5HDCinrM,150,166,169072,unverified,43,English,A woman is applying something on her face.
buJ5HDCinrM,150,166,108687,unverified,88,English,A woman is giving makeup advice.
buJ5HDCinrM,150,166,611139,unverified,59,English,A woman is making up her face.
buJ5HDCinrM,150,166,651813,unverified,16,English,A woman is placing makeup on her face.
buJ5HDCinrM,150,166,799001,unverified,27,English,A woman is putting on makeup.
buJ5HDCinrM,150,166,373663,unverified,36,English,A woman is putting on makeup.
buJ5HDCinrM,150,166,169605,unverified,561,English,A woman is putting on makeup.
buJ5HDCinrM,150,166,257511,unverified,36,English,A woman is showing how to apply foundation.
buJ5HDCinrM,150,166,502429,unverified,943,English,A woman is showing makeup tips.
buJ5HDCinrM,150,166,597124,unverified,178,English,A woman shows how to create a Kim Kardasian makeover look.
buJ5HDCinrM,150,166,132126,unverified,221,English,A young woman's beautifully made-up eyes.
buJ5HDCinrM,150,166,705358,unverified,195,English,KIm kardashian makeup on face
buJ5HDCinrM,150,166,762891,unverified,25,English,The woman is applying makeup.
buJ5HDCinrM,150,166,497691,unverified,85,English,A GIRL IS TEACHING ABOUT SOMEONE.
buJ5HDCinrM,150,166,818922,unverified,89,English,A LADY IS DOING MAKE UP.
buJ5HDCinrM,150,166,236993,unverified,16,English,AN WOMEN EYES
buJ5HDCinrM,150,166,965612,unverified,86,English,the girl is giving speech
buJ5HDCinrM,150,166,418656,unverified,86,English,A lady is doing make up!
buJ5HDCinrM,150,166,268378,unverified,213,English,"This video will show you how to do a complete facial makeover, so you can look like a star in no time!"
M_TP6UTrh30,343,358,374994,clean,37,English,A band is performing for a large crowd.
M_TP6UTrh30,343,358,280252,clean,53,English,A band is performing on a stage outside.
M_TP6UTrh30,343,358,275759,clean,14,English,A band is performing out stage.
M_TP6UTrh30,343,358,651813,clean,15,English,A band is playing for a group of people.
M_TP6UTrh30,343,358,922727,clean,22,English,A band is playing outside.
M_TP6UTrh30,343,358,617730,clean,14,English,A band is playing to a large crowd.
M_TP6UTrh30,343,358,825347,clean,14,English,A band on stage is playing in front of a large crowd.
M_TP6UTrh30,343,358,297776,clean,36,English,A band performs on a stage.
M_TP6UTrh30,343,358,159786,clean,1945,English,A band plays for a large crowd.
M_TP6UTrh30,343,358,807872,clean,25,English,A band plays in front of a huge crowd.
M_TP6UTrh30,343,358,760882,clean,76,English,A band plays on stage outside.
M_TP6UTrh30,343,358,772960,clean,111,English,A rock band is performing on stage in front of a large gathering of people.
M_TP6UTrh30,343,358,155632,clean,22,English,Men are playing music in the street.
M_TP6UTrh30,343,358,169605,clean,12,English,People are playing music.
M_TP6UTrh30,343,358,553931,clean,22,English,The band performed for a large outside crowd.
M_TP6UTrh30,343,358,309959,clean,20,English,The band performed outside for a large crowd.
M_TP6UTrh30,343,358,762891,clean,24,English,The band was playing in front of an audience.
8mSUD7JGNO0,174,181,550906,clean,26,English,A woman gallops on a horse.
8mSUD7JGNO0,174,181,651813,clean,14,English,A girl is riding a horse.
8mSUD7JGNO0,174,181,922727,clean,18,English,A girl is riding a horse.
8mSUD7JGNO0,174,181,155632,clean,15,English,A girl is riding a horse.
8mSUD7JGNO0,174,181,553931,clean,27,English,A girl rode a horse in the barn.
8mSUD7JGNO0,174,181,435773,clean,21,English,A lady is riding a horse in a barn.
8mSUD7JGNO0,174,181,825347,clean,21,English,A person is keeping their horse at a trot.
8mSUD7JGNO0,174,181,374994,clean,23,English,A person is riding a horse along the perimeter.
8mSUD7JGNO0,174,181,135621,clean,98,English,A woman is galloping a horse around an inside arena.
8mSUD7JGNO0,174,181,772960,clean,84,English,A woman is riding a horse in an enlosed covered area.
8mSUD7JGNO0,174,181,625932,clean,19,English,A woman is riding a horse.
8mSUD7JGNO0,174,181,760882,clean,18,English,A woman is riding a horse.
8mSUD7JGNO0,174,181,280252,clean,32,English,A woman is riding on a horse.
8mSUD7JGNO0,174,181,275759,clean,35,English,A woman is riding on a horse.
8mSUD7JGNO0,174,181,309959,clean,17,English,The horse and rider trotted around the barn.
8mSUD7JGNO0,174,181,762891,clean,27,English,The woman is riding a horse.
ljGcQocjSs4,38,60,169605,clean,15,English,A guy is shooting a gun.
ljGcQocjSs4,38,60,309959,clean,20,English,A man fired a gun at some targets.
ljGcQocjSs4,38,60,181773,clean,25,English,A man is firing a gun at targets.
ljGcQocjSs4,38,60,275759,clean,52,English,A man is firing with a revolver.
ljGcQocjSs4,38,60,435773,clean,30,English,A man is shooting a gun at a target range.
ljGcQocjSs4,38,60,155632,clean,19,English,A man is target shooting.
ljGcQocjSs4,38,60,878566,clean,38,English,A man picks up a gun and shoots down 5 targets.
ljGcQocjSs4,38,60,760882,clean,26,English,A man shoots a gun at targets.
ljGcQocjSs4,38,60,617730,clean,23,English,A man shoots a pistol at some targets.
ljGcQocjSs4,38,60,159786,clean,506,English,A man shoots a single action revolver.
ljGcQocjSs4,38,60,297776,clean,43,English,A man shoots targets with a pistol.
ljGcQocjSs4,38,60,374994,clean,40,English,A person is firing a pistol at targets.
ljGcQocjSs4,38,60,381885,clean,55,English,A person is shooting at targets with a pistol.
ljGcQocjSs4,38,60,825347,clean,16,English,A person is shooting targets with a gun.
ljGcQocjSs4,38,60,807872,clean,31,English,A person shoots a pistol.
ljGcQocjSs4,38,60,252681,clean,27,English,A person shoots at and knocks down all six targets in a row.
ljGcQocjSs4,38,60,922727,clean,29,English,Someone is shooting a gun.
ljGcQocjSs4,38,60,762891,clean,14,English,The man is shooting a gun.
ljGcQocjSs4,38,60,553931,clean,25,English,The man picked up his gun and fired at the targets.
ljGcQocjSs4,38,60,132982,unverified,80,English,A man is practicing to shoot.
ljGcQocjSs4,38,60,965612,unverified,44,English,the person is shoot them
ljGcQocjSs4,38,60,154335,unverified,454,English,the person practice the shooting with his gun
ljGcQocjSs4,38,60,707318,unverified,22,English,A man shoots a gun at targets.
ljGcQocjSs4,38,60,318570,unverified,361,English,a man is taking the gun.
ljGcQocjSs4,38,60,191580,unverified,48,English,A man picks up a pistol and shoots six targets in a row.
ljGcQocjSs4,38,60,403763,unverified,102,English,The person is shooting at the targets.
ljGcQocjSs4,38,60,257511,unverified,30,English,A person is shooting a handgun at distant targets.
ljGcQocjSs4,38,60,497691,unverified,50,English,A MAN IS SHOOTING SOMEONE TARGET.
ljGcQocjSs4,38,60,741585,unverified,16,English,A man is shooting a pistol.
ljGcQocjSs4,38,60,373663,unverified,45,English,Someone is firing a handgun.
ljGcQocjSs4,38,60,169072,unverified,26,English,A man is shooting.
ljGcQocjSs4,38,60,467982,unverified,60,English,A man doing some sort of shooting practise with a colt.
ljGcQocjSs4,38,60,394339,unverified,636,English,a man aiming with a pistol
ljGcQocjSs4,38,60,604298,unverified,69,English,A man aims a gun at a target in the distance.
ljGcQocjSs4,38,60,334439,unverified,326,English,A man shot with his gun
ljGcQocjSs4,38,60,130040,unverified,23,English,a man is firing his gun
ljGcQocjSs4,38,60,977945,unverified,908,English,Taurus Gaucho Replica Colt Single Action Army
ljGcQocjSs4,38,60,346578,unverified,46,English,Someone is shooting a revolver at targets down range.
ljGcQocjSs4,38,60,784999,unverified,34,English,A man is firing a gun.
ljGcQocjSs4,38,60,525230,unverified,252,English,the gun is shooting video
ljGcQocjSs4,38,60,554590,unverified,35,English,A man target shoots.
n2NLoLNecgI,168,178,169605,clean,15,English,A girl is playing violin.
n2NLoLNecgI,168,178,309959,clean,14,English,A lady played her violin.
n2NLoLNecgI,168,178,772960,clean,69,English,A woman is demonstrating as to how to play a violin.
n2NLoLNecgI,168,178,760882,clean,16,English,A woman is playing a violin.
n2NLoLNecgI,168,178,155632,clean,17,English,A woman is playing a violin.
n2NLoLNecgI,168,178,159786,clean,282,English,A woman is playing a violin.
n2NLoLNecgI,168,178,280252,clean,39,English,A woman is playing a violin.
n2NLoLNecgI,168,178,922727,clean,23,English,A woman is playing a violin.
n2NLoLNecgI,168,178,252681,clean,15,English,A woman is playing the violin.
n2NLoLNecgI,168,178,435773,clean,19,English,A woman is playing the violin.
n2NLoLNecgI,168,178,617730,clean,13,English,A woman is playing the violin.
n2NLoLNecgI,168,178,214410,clean,41,English,A woman is playing the violin.
n2NLoLNecgI,168,178,374994,clean,19,English,A woman is playing the violin.
n2NLoLNecgI,168,178,275759,clean,22,English,A woman is playing violin.
n2NLoLNecgI,168,178,297776,clean,27,English,A woman plays a violin.
n2NLoLNecgI,168,178,807872,clean,16,English,A woman plays the violin.
n2NLoLNecgI,168,178,553931,clean,22,English,The lady played her violin.
n2NLoLNecgI,168,178,762891,clean,15,English,The woman is playing the violin.
n2NLoLNecgI,168,178,132982,unverified,56,English,A Women Performing Violin.
n2NLoLNecgI,168,178,833861,unverified,69,English,She is playing music
n2NLoLNecgI,168,178,965612,unverified,41,English,the women is playing violin
n2NLoLNecgI,168,178,611139,unverified,56,English,A woman is playing Benzo.
n2NLoLNecgI,168,178,266771,unverified,80,English,A lady is playing violin
n2NLoLNecgI,168,178,495520,unverified,194,English,Lesson of violin.
n2NLoLNecgI,168,178,799001,unverified,21,English,A woman is playing a violin.
n2NLoLNecgI,168,178,707318,unverified,12,English,A woman is playing a piano.
n2NLoLNecgI,168,178,318570,unverified,88,English,A lady is playing the guitar.
n2NLoLNecgI,168,178,418656,unverified,75,English,A lady is playimg piano!
n2NLoLNecgI,168,178,502429,unverified,40,English,A woman is playing a violin.
n2NLoLNecgI,168,178,741585,unverified,14,English,A woman is playing the violin.
n2NLoLNecgI,168,178,373663,unverified,29,English,A woman is playing a violin.
n2NLoLNecgI,168,178,120123,unverified,75,English,A woman giving a violin lesson about vibrato on the violin.
n2NLoLNecgI,168,178,813710,unverified,18,English,A woman is playing the violin.
n2NLoLNecgI,168,178,155632,unverified,22,English,A woman is playing a violin.
n2NLoLNecgI,168,178,169072,unverified,32,English,A woman is playing a violen.
n2NLoLNecgI,168,178,294958,unverified,24,English,A woman plays the violin.
n2NLoLNecgI,168,178,749155,unverified,34,English,A Lady playing violin and singing
n2NLoLNecgI,168,178,394339,unverified,249,English,a lady playing a guitar
n2NLoLNecgI,168,178,977945,unverified,121,English,A women playing gitter
n2NLoLNecgI,168,178,279187,unverified,63,English,A woman explains playing violin.
n2NLoLNecgI,168,178,545451,unverified,46,English,The lady is practising with the voilin.
n2NLoLNecgI,168,178,869926,unverified,16,English,A woman is playing the violin.
n2NLoLNecgI,168,178,633378,unverified,27,English,A woman is playing a violin.
n2NLoLNecgI,168,178,638934,unverified,9,English,A woman is playing violin.
n2NLoLNecgI,168,178,514595,unverified,76,English,A lady playing violin
6q1dX6thX3E,286,295,651813,clean,35,English,A man is talking on the phone.
6q1dX6thX3E,286,295,760882,clean,43,English,A man is talking on a phone.
6q1dX6thX3E,286,295,280252,clean,68,English,A man is talking on the phone.
6q1dX6thX3E,286,295,159786,clean,1322,English,A man is talking on a cell phone.
6q1dX6thX3E,286,295,922727,clean,14,English,A man is talking on the phone.
6q1dX6thX3E,286,295,275759,clean,42,English,A man is talking on mobile phone.
6q1dX6thX3E,286,295,825347,clean,11,English,A man is speaking on a telephone.
6q1dX6thX3E,286,295,157374,clean,46,English,A man is talking on the telephone.
6q1dX6thX3E,286,295,374994,clean,33,English,A man is talking on a cell phone.
6q1dX6thX3E,286,295,297776,clean,30,English,A man talks on a telephone.
6q1dX6thX3E,286,295,155632,clean,21,English,A man is talking on the phone.
6q1dX6thX3E,286,295,169605,clean,26,English,A man is talking on the phone.
6q1dX6thX3E,286,295,617730,clean,29,English,A man speaks on a cell phone.
6q1dX6thX3E,286,295,309959,clean,18,English,The man talked on the telephone.
6q1dX6thX3E,286,295,762891,clean,12,English,The man is talking on the phone.
6q1dX6thX3E,286,295,807872,clean,16,English,A man talks on the phone.
